rank,school,grades,students,student/teacher ratio,free lunch recipients,average standard score,rank (2015),rank change from 2015,type,address,city,zip,county,district,charter,magnet,virtual,title i,phone,fulltime teachers,white,black,hispanic,asian,american indian,pacific islander,two or more races
11,High Technology High School,12-Sep,295,13.4,2.70%,94.7,4,-7,Public,765 Newman Springs Road,Lincroft,7738,Monmouth,Monmouth County Vocational School District,No,(n/a),No,No,(732) 842-8444,22,143 (48.5 %),2 (0.7 %),4 (1.4 %),145 (49.2 %),0 (0.0 %),1 (0.3 %),0 (0.0 %)
12,Marine Academy Of Science And Technology,12-Sep,297,10.6,5.70%,94.5,6,-6,Public,305 Mast Way,Highlands,7732,Monmouth,Monmouth County Vocational School District,No,(n/a),No,No,(732) 291-0995,28,273 (91.9 %),0 (0.0 %),9 (3.0 %),14 (4.7 %),1 (0.3 %),0 (0.0 %),0 (0.0 %)
13,Infinity Institute,12-Jun,282,10.4,78.00%,94.5,8,-5,"Public, Alternative",193 Old Bergen Road,Jersey City,7305,Hudson,Jersey City School District,No,(n/a),No,Yes,(201) 915-1404,27,57 (20.2 %),73 (25.9 %),78 (27.7 %),71 (25.2 %),1 (0.4 %),2 (0.7 %),0 (0.0 %)
14,Communications High School,12-Sep,320,11.4,2.80%,94.1,16,2,Public,1740 New Bedford Road,Wall,7719,Monmouth,Monmouth County Vocational School District,No,(n/a),No,No,(732) 681-1010,28,281 (87.8 %),2 (0.6 %),18 (5.6 %),19 (5.9 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
15,Academy For Performing Arts,12-Sep,190,11.8,7.40%,94.1,19,4,Public,1776 Raritan Road,Scotch Plains,7076,Union,Union County Vocational-Technical School District,No,(n/a),No,No,(908) 889-8288,16,100 (52.6 %),30 (15.8 %),50 (26.3 %),6 (3.2 %),1 (0.5 %),1 (0.5 %),2 (1.1 %)
16,Bergen County Academies,12-Sep,"1,059",11.2,4.20%,93.6,13,-3,Public,200 Hackensack Avenue,Hackensack,7601,Bergen,Bergen County Vocational Technical School District,No,(n/a),No,No,(201) 343-6000,94,377 (35.6 %),14 (1.3 %),68 (6.4 %),549 (51.8 %),1 (0.1 %),1 (0.1 %),49 (4.6 %)
17,Biotechnology High School,12-Sep,327,13.6,3.10%,93.4,9,-8,Public,5000 Kozloski Road,Freehold,7728,Monmouth,Monmouth County Vocational School District,No,(n/a),No,No,(732) 431-7942,24,160 (48.9 %),4 (1.2 %),12 (3.7 %),148 (45.3 %),0 (0.0 %),3 (0.9 %),0 (0.0 %)
18,Morris County School of Technology,12-Sep,687,9.5,7.40%,89.8,30,12,Public,400 East Main Street,Denville,7834,Morris,Morris County Vocational School District,No,(n/a),No,Yes,(973) 627-4600,72,453 (65.9 %),16 (2.3 %),67 (9.8 %),134 (19.5 %),1 (0.1 %),1 (0.1 %),15 (2.2 %)
19,Academy for Law and Public Safety,12-Sep,48,48,0.00%,88.7,49,30,Public,Bartholdi Avenue,Butler,7405,Morris,Morris County Vocational School District,No,(n/a),No,Yes,(973) 492-2000,1,39 (81.3 %),1 (2.1 %),5 (10.4 %),3 (6.3 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
20,Bergen County Technical High School - Teterboro,12-Sep,658,9.9,11.60%,86.9,20,0,Public,504 Route 46 West,Teterboro,7608,Bergen,Bergen County Vocational Technical School District,No,(n/a),No,Yes,(201) 343-6000,66,279 (42.4 %),29 (4.4 %),119 (18.1 %),201 (30.5 %),1 (0.2 %),0 (0.0 %),29 (4.4 %)
21,North Hunterdon High School,12-Sep,"1,707",12.9,2.50%,86.6,56,35,Public,1445 State Route 31,Annandale,8801,Hunterdon,North Hunterdon-Voorhees Regional High School District,No,(n/a),No,No,(908) 735-5191,132,1522 (89.2 %),35 (2.1 %),62 (3.6 %),83 (4.9 %),5 (0.3 %),0 (0.0 %),0 (0.0 %)
22,Central Jersey College Prep Charter School,K-12,420,9.5,28.30%,85.4,39,17,"Public, Charter, Alternative",17 Schoolhouse Rd,Somerset,8873,Somerset,Central Jersey College Prep Charter School,Yes,(n/a),No,No,(732) 302-9991,44,55 (13.1 %),130 (31.0 %),76 (18.1 %),147 (35.0 %),1 (0.2 %),1 (0.2 %),10 (2.4 %)
23,Summit High School,12-Sep,"1,278",11.8,16.50%,85.4,22,-1,Public,125 Kent Place Blvd,Summit,7901,Union,Summit Public School District,No,(n/a),No,Yes,(908) 273-1494,108,866 (67.8 %),75 (5.9 %),201 (15.7 %),92 (7.2 %),0 (0.0 %),0 (0.0 %),44 (3.4 %)
24,Kinnelon High School,12-Sep,671,10.6,3.10%,83.2,139,115,Public,121 Kinnelon Road,Kinnelon,7405,Morris,Kinnelon School District,No,(n/a),No,No,(973) 838-5500,63,602 (89.7 %),6 (0.9 %),29 (4.3 %),29 (4.3 %),0 (0.0 %),2 (0.3 %),3 (0.4 %)
25,Mahwah High School,12-Sep,918,9.9,12.10%,83,24,-1,Public,50 Ridge Road,Mahwah,7430,Bergen,Mahwah Township Public School District,No,(n/a),No,Yes,(201) 762-2300,92,717 (78.1 %),26 (2.8 %),65 (7.1 %),86 (9.4 %),3 (0.3 %),1 (0.1 %),20 (2.2 %)
26,North Star Academy Charter School,K-12,"3,989",13.7,86.70%,82.6,15,-11,"Public, Charter, Alternative",10 Washington Place,Newark,7102,Essex,North Star Academy Charter School,Yes,(n/a),No,Yes,(973) 642-0101,291,11 (0.3 %),3437 (86.2 %),461 (11.6 %),63 (1.6 %),1 (0.0 %),0 (0.0 %),16 (0.4 %)
27,Science Park High School,12-Jul,847,13.4,63.90%,81.4,18,-9,Public,260 Norfolk Street,Newark,7102,Essex,Newark Public School District,No,(n/a),No,Yes,(973) 733-8689,63,173 (20.4 %),261 (30.8 %),376 (44.4 %),29 (3.4 %),4 (0.5 %),4 (0.5 %),0 (0.0 %)
28,Montgomery High School,12-Sep,"1,687",13.6,4.10%,80.7,31,3,Public,1016 Route 601,Skillman,8558,Somerset,Montgomery Township School District,No,(n/a),No,Yes,(609) 466-7602,124,906 (53.7 %),54 (3.2 %),71 (4.2 %),651 (38.6 %),0 (0.0 %),0 (0.0 %),5 (0.3 %)
29,Ridgewood High School,12-Sep,"1,713",12.8,2.10%,80.2,29,0,Public,627 East Ridgewood Ave,Ridgewood,7451,Bergen,Ridgewood Public School District,No,(n/a),No,No,(201) 670-2800,133,1237 (72.2 %),15 (0.9 %),146 (8.5 %),248 (14.5 %),1 (0.1 %),1 (0.1 %),65 (3.8 %)
30,West Morris Central High School,12-Sep,"1,283",12.8,0.80%,80,27,-3,Public,259 Bartley Road,Chester,7930,Morris,West Morris Regional High School District,No,(n/a),No,No,(908) 879-5212,100,1124 (87.6 %),30 (2.3 %),64 (5.0 %),48 (3.7 %),2 (0.2 %),1 (0.1 %),14 (1.1 %)
31,Monroe Township High School,12-Sep,"2,093",12.4,11.30%,79.4,234,203,Public,200 Schoolhouse Road,Monroe Township,8831,Middlesex,Monroe Township School District,No,(n/a),No,No,(732) 521-2882,168,1309 (62.5 %),102 (4.9 %),191 (9.1 %),480 (22.9 %),0 (0.0 %),1 (0.0 %),10 (0.5 %)
32,Glen Ridge High School,12-Jul,816,11.1,0.00%,79.1,23,-9,Public,200 Ridgewood Ave,Glen Ridge,7028,Essex,Glen Ridge Public School District,No,(n/a),No,No,(973) 429-8303,73,646 (79.2 %),47 (5.8 %),43 (5.3 %),36 (4.4 %),0 (0.0 %),0 (0.0 %),44 (5.4 %)
33,Waldwick High School,12-Sep,445,10.3,0.70%,77.2,63,30,Public,155 Wyckoff Avenue,Waldwick,7463,Bergen,Waldwick School District,No,(n/a),No,No,(201) 652-9000,43,365 (82.0 %),10 (2.2 %),51 (11.5 %),19 (4.3 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
34,Northern Valley Regional High School At Old Tappan,12-Sep,"1,258",12,0.20%,76.6,97,63,Public,Central Ave,Old Tappan,7675,Bergen,Northern Valley Regional High School District,No,(n/a),No,No,(201) 784-1600,104,886 (70.4 %),9 (0.7 %),54 (4.3 %),281 (22.3 %),2 (0.2 %),0 (0.0 %),26 (2.1 %)
35,Leonia High School,12-Sep,688,11.6,21.50%,76.3,53,18,Public,100 Chrisite Heights Street,Leonia,7605,Bergen,Leonia Public School District,No,(n/a),No,Yes,(201) 302-5200,59,230 (33.4 %),39 (5.7 %),169 (24.6 %),241 (35.0 %),0 (0.0 %),1 (0.1 %),8 (1.2 %)
36,Mountain Lakes High School,12-Sep,706,11.5,2.40%,75.9,47,11,Public,96 Powerville Rd.,Mountain Lakes,7046,Morris,Mountain Lakes Public School District,No,(n/a),No,No,(973) 334-8400,61,572 (81.0 %),9 (1.3 %),38 (5.4 %),80 (11.3 %),1 (0.1 %),0 (0.0 %),6 (0.8 %)
37,John P. Stevens High School,12-Sep,"2,242",14.4,17.00%,75,32,-5,Public,855 Grove Avenue,Edison,8820,Middlesex,Edison Township School District,No,(n/a),No,No,(732) 452-2800,155,367 (16.4 %),177 (7.9 %),88 (3.9 %),1597 (71.2 %),0 (0.0 %),3 (0.1 %),10 (0.4 %)
38,Hunterdon Central Regional High School District,12-Sep,"3,035",12.6,5.60%,74.4,60,22,Public,84 Route 31,Flemington,8822,Hunterdon,Hunterdon Central Regional High School District,No,(n/a),No,Yes,(908) 782-5727,239,2518 (83.0 %),70 (2.3 %),240 (7.9 %),175 (5.8 %),3 (0.1 %),2 (0.1 %),27 (0.9 %)
39,Voorhees High School,12-Sep,"1,080",12.5,4.70%,74,44,5,Public,256 County Route 513,Glen Gardner,8826,Hunterdon,North Hunterdon-Voorhees Regional High School District,No,(n/a),No,Yes,(908) 638-6116,86,955 (88.4 %),26 (2.4 %),51 (4.7 %),46 (4.3 %),2 (0.2 %),0 (0.0 %),0 (0.0 %)
40,Dumont High School,12-Sep,824,13,10.00%,73.5,51,11,Public,101 New Milford Ave,Dumont,7628,Bergen,Dumont Public School District,No,(n/a),No,No,(201) 387-3000,63,496 (60.2 %),26 (3.2 %),184 (22.3 %),97 (11.8 %),0 (0.0 %),20 (2.4 %),1 (0.1 %)
41,Mount Olive High School,12-Sep,"1,460",13.3,15.10%,73.1,255,214,Public,18 Corey Road,Flanders,7836,Morris,Mount Olive Township School District,No,(n/a),No,No,(973) 927-2208,109,1005 (68.8 %),99 (6.8 %),194 (13.3 %),135 (9.2 %),0 (0.0 %),1 (0.1 %),26 (1.8 %)
42,High Technical High School,12-Sep,940,11.6,38.90%,72.5,79,37,Public,2000 85th Street,North Bergen,7047,Hudson,Hudson County Schools Of Technology School District,No,(n/a),No,Yes,(201) 662-6801,81,293 (31.2 %),54 (5.7 %),377 (40.1 %),200 (21.3 %),2 (0.2 %),14 (1.5 %),0 (0.0 %)
43,Point Pleasant Beach High School,12-Sep,347,9.6,11.80%,72.4,62,19,Public,700 Trenton Avenue,Point Pleasant Beach,8742,Ocean,Point Pleasant Beach School District,No,(n/a),No,Yes,(732) 899-1817,36,317 (91.4 %),2 (0.6 %),17 (4.9 %),10 (2.9 %),0 (0.0 %),0 (0.0 %),1 (0.3 %)
44,River Dell Regional High School,12-Sep,"1,067",11.8,1.10%,72.2,25,-19,Public,55 Pyle Street,Oradell,7649,Bergen,River Dell Regional School District,No,(n/a),No,No,(201) 599-7240,90,760 (71.2 %),22 (2.1 %),72 (6.7 %),199 (18.7 %),0 (0.0 %),2 (0.2 %),12 (1.1 %)
45,Pascack Hills High School,12-Sep,841,12.1,2.40%,72,35,-10,Public,225 West Grand Avenue,Montvale,7645,Bergen,Pascack Valley Regional High School District,No,(n/a),No,No,(201) 358-7020,69,703 (83.6 %),7 (0.8 %),69 (8.2 %),61 (7.3 %),1 (0.1 %),0 (0.0 %),0 (0.0 %)
46,Bridgewater-Raritan High School,12-Sep,"2,902",12.5,8.30%,71.7,109,63,Public,600 Garretson Road,Bridgewater,8807,Somerset,Bridgewater-Raritan Regional School District,No,(n/a),No,No,(908) 231-8660,232,1859 (64.1 %),101 (3.5 %),267 (9.2 %),622 (21.4 %),2 (0.1 %),30 (1.0 %),21 (0.7 %)
47,Northern Highlands Regional High School,12-Sep,"1,334",11.5,0.50%,71.7,57,10,Public,298 Hillside Ave,Allendale,7401,Bergen,Northern Highlands Regional High School District,No,(n/a),No,No,(201) 327-8700,116,1109 (83.1 %),10 (0.7 %),66 (4.9 %),135 (10.1 %),0 (0.0 %),1 (0.1 %),13 (1.0 %)
48,Ramsey High School,12-Sep,870,9.6,4.90%,71.4,78,30,Public,256 E Main Street,Ramsey,7446,Bergen,Ramsey School District,No,(n/a),No,No,(201) 785-2300,90,731 (84.0 %),7 (0.8 %),60 (6.9 %),57 (6.6 %),0 (0.0 %),2 (0.2 %),13 (1.5 %)
49,Ridge High School,12-Sep,"1,897",13,1.90%,71.3,26,-23,Public,268 So Finley Ave,Basking Ridge,7920,Somerset,Bernards Township School District,No,(n/a),No,Yes,(908) 204-2585,145,1348 (71.1 %),12 (0.6 %),76 (4.0 %),437 (23.0 %),0 (0.0 %),0 (0.0 %),24 (1.3 %)
50,Millburn High School,12-Sep,"1,478",11.7,1.50%,71,36,-14,Public,462 Millburn Ave,Millburn,7041,Essex,Millburn Township School District,No,(n/a),No,No,(973) 564-7130,126,985 (66.6 %),27 (1.8 %),73 (4.9 %),333 (22.5 %),1 (0.1 %),0 (0.0 %),59 (4.0 %)
51,Passaic County Technical Institute,12-Sep,"3,359",11.4,68.10%,69.3,151,100,Public,45 Reinhardt Road,Wayne,7470,Passaic,Passsaic County Vocational School District,No,(n/a),No,Yes,(973) 790-6000,294,544 (16.2 %),444 (13.2 %),2047 (60.9 %),280 (8.3 %),0 (0.0 %),0 (0.0 %),44 (1.3 %)
52,Chatham High School,12-Sep,"1,202",11.6,1.90%,69.1,50,-2,Public,255 Lafayette Avenue,Chatham,7928,Morris,The School District Of The Chathams,No,(n/a),No,No,(973) 457-2505,103,1022 (85.0 %),21 (1.7 %),45 (3.7 %),103 (8.6 %),0 (0.0 %),1 (0.1 %),10 (0.8 %)
53,Fair Lawn High School,12-Sep,"1,455",12.9,13.80%,69.1,89,36,Public,14 00 Berdan Avenue,Fair Lawn,7410,Bergen,Fair Lawn Public School District,No,(n/a),No,No,(201) 794-5455,112,981 (67.4 %),45 (3.1 %),252 (17.3 %),166 (11.4 %),2 (0.1 %),4 (0.3 %),5 (0.3 %)
54,Morris Hills High School,12-Sep,"1,233",11.4,23.10%,69,102,48,Public,520 West Main Street,Rockaway,7866,Morris,Morris Hills Regional School District,No,(n/a),No,Yes,(973) 664-2301,108,661 (53.6 %),45 (3.6 %),362 (29.4 %),148 (12.0 %),0 (0.0 %),0 (0.0 %),17 (1.4 %)
55,Northern Valley Regional High School At Demarest,12-Sep,"1,093",11.3,1.20%,69,87,32,Public,150 Knickerbocker Rd,Demarest,7627,Bergen,Northern Valley Regional High School District,No,(n/a),No,Yes,(201) 768-3200,96,664 (60.8 %),5 (0.5 %),78 (7.1 %),296 (27.1 %),1 (0.1 %),1 (0.1 %),48 (4.4 %)
56,Bard Early College High School,12-Sep,303,12.1,69.00%,68.9,69,13,Public,321 Bergen Street,Newark,7103,Essex,Newark Public School District,No,(n/a),No,Yes,(212) 995-8479,25,9 (3.0 %),217 (71.6 %),71 (23.4 %),5 (1.7 %),0 (0.0 %),1 (0.3 %),0 (0.0 %)
57,Technology High School,12-Sep,609,10.6,86.90%,68.7,76,19,Public,223 Broadway,Newark,7102,Essex,Newark Public School District,No,(n/a),No,Yes,(973) 481-5962,57,67 (11.0 %),150 (24.6 %),375 (61.6 %),15 (2.5 %),1 (0.2 %),1 (0.2 %),0 (0.0 %)
58,East Orange STEM Academy High School,12-Jun,646,12.1,67.80%,68.5,58,0,"Public, Alternative",129 Renshaw Avenue,East Orange,7017,Essex,East Orange School District,No,(n/a),No,Yes,(973) 266-5900,53,3 (0.5 %),610 (94.4 %),30 (4.6 %),3 (0.5 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
59,Hackettstown High School,12-Sep,921,12.7,15.40%,68.4,68,9,Public,701 Warren Street,Hackettstown,7840,Warren,Hackettstown Public School District,No,(n/a),No,No,(908) 852-8150,72,724 (78.6 %),19 (2.1 %),125 (13.6 %),35 (3.8 %),1 (0.1 %),4 (0.4 %),13 (1.4 %)
60,Park Ridge High School,12-Jul,571,9.8,5.30%,68.2,52,-8,Public,2 Park Ave,Park Ridge,7656,Bergen,Park Ridge School District,No,(n/a),No,Yes,(201) 573-6000,58,448 (78.5 %),4 (0.7 %),66 (11.6 %),45 (7.9 %),0 (0.0 %),0 (0.0 %),8 (1.4 %)
61,Pompton Lakes High School,12-Sep,646,12.4,14.90%,68.1,81,20,Public,44 Lakeside Avenue,Pompton Lakes,7442,Passaic,Pompton Lakes School District,No,(n/a),No,No,(973) 835-7100,52,496 (76.8 %),9 (1.4 %),103 (15.9 %),29 (4.5 %),1 (0.2 %),8 (1.2 %),0 (0.0 %)
62,Great Oaks Legacy Charter School,"PK, KG-12",486,21.1,80.00%,67.8,118,56,"Public, Charter, Alternative",24 Maiden Lane,Newark,7102,Essex,Great Oaks Legacy Charter School,Yes,(n/a),No,Yes,(973) 565-9170,23,1 (0.2 %),392 (80.7 %),90 (18.5 %),2 (0.4 %),0 (0.0 %),0 (0.0 %),1 (0.2 %)
63,Wayne Hills High School,12-Sep,"1,350",11.1,6.50%,67.5,128,65,Public,272 Berdan Avenue,Wayne,7470,Passaic,Wayne Township Public School District,No,(n/a),No,No,(973) 317-2000,121,1107 (82.0 %),22 (1.6 %),88 (6.5 %),127 (9.4 %),0 (0.0 %),4 (0.3 %),2 (0.1 %)
64,New Milford High School,12-Sep,648,12.9,13.40%,67.2,33,-31,Public,330 River Road,New Milford,7646,Bergen,New Milford Public School District,No,(n/a),No,No,(201) 262-0172,50,333 (51.4 %),32 (4.9 %),138 (21.3 %),65 (10.0 %),0 (0.0 %),80 (12.3 %),0 (0.0 %)
65,Cherry Hill High School East,12-Sep,"2,177",16.2,13.00%,67.1,43,-22,Public,1750 Kresson Rd,Cherry Hill,8003,Camden,Cherry Hill School District,No,(n/a),No,No,(856) 424-2222,134,1383 (63.5 %),157 (7.2 %),114 (5.2 %),462 (21.2 %),0 (0.0 %),1 (0.0 %),60 (2.8 %)
66,Tenafly High School,12-Sep,"1,148",11.2,3.20%,67,80,14,Public,19 Columbus Drive,Tenafly,7670,Bergen,Tenafly Public School District,No,(n/a),No,Yes,(201) 816-6614,102,701 (61.1 %),14 (1.2 %),67 (5.8 %),353 (30.7 %),0 (0.0 %),1 (0.1 %),12 (1.0 %)
67,Bergenfield High School,12-Sep,"1,205",13.3,33.00%,66.9,92,25,Public,80 S Prospect Ave,Bergenfield,7621,Bergen,Bergenfield Borough School District,No,(n/a),No,Yes,(201) 385-8600,90,164 (13.6 %),113 (9.4 %),551 (45.7 %),355 (29.5 %),2 (0.2 %),9 (0.7 %),11 (0.9 %)
68,Wayne Valley High School,12-Sep,"1,337",11.1,10.00%,66.7,205,137,Public,551 Valley Road,Wayne,7470,Passaic,Wayne Township Public School District,No,(n/a),No,Yes,(973) 317-2200,120,1099 (82.2 %),17 (1.3 %),138 (10.3 %),75 (5.6 %),2 (0.1 %),5 (0.4 %),1 (0.1 %)
69,County Prep High School,12-Sep,782,9,53.20%,66.6,55,-14,Public,525 Montgomery Street,Jersey City,7306,Hudson,Hudson County Schools Of Technology School District,No,(n/a),No,Yes,(201) 631-6302,86,153 (19.6 %),95 (12.1 %),299 (38.2 %),213 (27.2 %),4 (0.5 %),18 (2.3 %),0 (0.0 %)
70,Cedar Grove High School,12-Sep,503,11.9,4.40%,66.5,74,4,Public,90 Rugby Rd,Cedar Grove,7009,Essex,Cedar Grove Township School District,No,(n/a),No,Yes,(973) 239-6400,42,437 (86.9 %),7 (1.4 %),34 (6.8 %),25 (5.0 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
71,Westfield Senior High School,12-Sep,"1,866",12.1,3.10%,66.4,71,0,Public,550 Dorian Rd,Westfield,7090,Union,Westfield Public School District,No,(n/a),No,No,(908) 789-4500,153,1582 (84.8 %),69 (3.7 %),82 (4.4 %),128 (6.9 %),0 (0.0 %),1 (0.1 %),4 (0.2 %)
72,Clearview Regional High School,12-Sep,"1,597",14.5,13.30%,66.4,129,57,Public,625 Breakneck Rd,Mullica Hill,8062,Gloucester,Clearview Regional High School District,No,(n/a),No,Yes,(856) 223-2790,110,1366 (85.5 %),90 (5.6 %),53 (3.3 %),65 (4.1 %),1 (0.1 %),0 (0.0 %),22 (1.4 %)
73,Hillsborough High School,12-Sep,"2,263",12,7.30%,66.1,135,62,Public,466 Raider Boulevard,Hillsborough,8844,Somerset,Hillsborough Township Public School District,No,(n/a),No,No,(908) 431-6600,188,1554 (68.7 %),125 (5.5 %),162 (7.2 %),416 (18.4 %),0 (0.0 %),5 (0.2 %),1 (0.0 %)
74,Ramapo High School,12-Sep,"1,054",10.1,1.60%,66.1,41,-33,Public,331 George Street,Franklin Lakes,7417,Bergen,Ramapo Indian Hills Regional High School District,No,(n/a),No,No,(201) 891-1500,104,946 (89.8 %),10 (0.9 %),30 (2.8 %),65 (6.2 %),0 (0.0 %),0 (0.0 %),3 (0.3 %)
75,Montclair High School,12-Sep,"2,013",12.8,20.10%,65.9,28,-47,Public,100 Chestnut St,Montclair,7042,Essex,Montclair Public Schools,No,(n/a),No,No,(973) 509-4100,157,995 (49.4 %),646 (32.1 %),200 (9.9 %),108 (5.4 %),6 (0.3 %),1 (0.0 %),57 (2.8 %)
76,South Plainfield High School,12-Sep,"1,069",11.7,28.50%,65.6,289,213,Public,200 Lake Street,South Plainfield,7080,Middlesex,South Plainfield School District,No,(n/a),No,Yes,(908) 754-4620,91,516 (48.3 %),174 (16.3 %),235 (22.0 %),139 (13.0 %),1 (0.1 %),4 (0.4 %),0 (0.0 %)
77,Middlesex High School,12-Sep,622,10.1,26.20%,65.3,45,-32,Public,300 John F. Kennedy Drive,Middlesex,8846,Middlesex,Middlesex Borough School District,No,(n/a),No,No,(732) 317-6000,61,370 (59.5 %),56 (9.0 %),152 (24.4 %),37 (5.9 %),0 (0.0 %),1 (0.2 %),6 (1.0 %)
78,Matawan Regional High School,12-Sep,"1,057",11.6,29.00%,65.1,72,-6,Public,450 Atlantic Avenue,Aberdeen,7747,Monmouth,Matawan-Aberdeen Regional School District,No,(n/a),No,No,(732) 705-5200,91,674 (63.8 %),173 (16.4 %),143 (13.5 %),60 (5.7 %),2 (0.2 %),0 (0.0 %),5 (0.5 %)
79,Livingston High School,12-Sep,"1,832",11.2,1.30%,64.7,37,-42,Public,30 Robert Harp Drive,Livingston,7039,Essex,Livingston Board Of Education School District,No,(n/a),No,Yes,(973) 535-8000,163,1211 (66.1 %),58 (3.2 %),73 (4.0 %),464 (25.3 %),0 (0.0 %),2 (0.1 %),24 (1.3 %)
80,Eastern Regional High School,12-Sep,"2,038",13.7,9.20%,64.6,131,51,Public,1401 Laurel Oak Road,Voorhees,8043,Camden,Eastern Camden County Regional School District,No,(n/a),No,Yes,(856) 784-4441,148,1333 (65.4 %),186 (9.1 %),147 (7.2 %),284 (13.9 %),5 (0.2 %),5 (0.2 %),78 (3.8 %)
81,Hammonton High School,12-Sep,"1,419",14.3,35.50%,64.1,133,52,Public,566 Old Forks Road,Hammonton,8037,Atlantic,Hammonton School District,No,(n/a),No,Yes,(609) 567-7000,99,1045 (73.6 %),83 (5.8 %),257 (18.1 %),11 (0.8 %),0 (0.0 %),0 (0.0 %),23 (1.6 %)
82,Gloucester County Institute of Technology,12-Sep,"1,322",14,14.20%,64,265,183,Public,1360 Tanyard Road,Sewell,8080,Gloucester,Gloucester County Vocational-Technical School District,No,(n/a),No,Yes,(856) 468-1445,94,1089 (82.4 %),64 (4.8 %),77 (5.8 %),37 (2.8 %),2 (0.2 %),2 (0.2 %),51 (3.9 %)
83,Fort Lee High School,12-Sep,940,13.4,22.20%,63.7,77,-6,Public,3000 Lemoine Ave,Fort Lee,7024,Bergen,Fort Lee School District,No,(n/a),No,Yes,(201) 585-4675,70,295 (31.4 %),42 (4.5 %),216 (23.0 %),381 (40.5 %),1 (0.1 %),4 (0.4 %),1 (0.1 %)
