rank,school,grades,students,student/teacher ratio,free lunch recipients,average standard score,rank (2013),rank change from 2013,type,address,city,zip,county,district,charter,magnet,virtual,title i,phone,fulltime teachers,white,black,hispanic,asian,american indian,pacific islander,two or more races
1,Academy For Allied Health Sciences,9-12,262,15.6,10.70%,83.7,1,0.00,Public,1776 Raritan Road,Scotch Plains,7076,Union,Union County Vocational-Technical School District,No,(n/a),No,No,(908) 889-8288,17,112 (42.7 %),45 (17.2 %),34 (13.0 %),64 (24.4 %),2 (0.8 %),1 (0.4 %),4 (1.5 %)
1,Academy For Information Technology,9-12,263,9.4,8.00%,83.7,1,0.00,Public,1776 Raritan Road,Scotch Plains,7076,Union,Union County Vocational-Technical School District,No,(n/a),No,No,(908) 889-8288,28,147 (55.9 %),21 (8.0 %),35 (13.3 %),48 (18.3 %),0 (0.0 %),3 (1.1 %),9 (3.4 %)
1,Academy for Law and Public Safety,9-12,60,60,0.00%,83.7,1,0.00,Public,Bartholdi Avenue,Butler,7405,Morris,Morris County Vocational School District,No,(n/a),No,Yes,(973) 492-2000,1,50 (83.3 %),1 (1.7 %),7 (11.7 %),2 (3.3 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
1,Academy for Mathematics Science and Engineering,9-12,94,,0.00%,83.7,1,0.00,Public,520 West Main Street,Rockaway,7866,Morris,Morris County Vocational School District,No,(n/a),No,Yes,(973) 664-2301,,29 (30.9 %),0 (0.0 %),3 (3.2 %),59 (62.8 %),0 (0.0 %),2 (2.1 %),1 (1.1 %)
1,Academy Of Allied Health And Science,9-12,282,10.4,7.10%,83.7,1,0.00,Public,2325 Heck Avenue,Neptune,7753,Monmouth,Monmouth County Vocational School District,No,(n/a),No,No,(732) 775-0058,27,179 (63.5 %),9 (3.2 %),6 (2.1 %),86 (30.5 %),0 (0.0 %),1 (0.4 %),1 (0.4 %)
1,Bergen County Academies,9-12,"1,060",11.7,4.20%,83.7,1,0.00,Public,200 Hackensack Avenue,Hackensack,7601,Bergen,Bergen County Vocational Technical School District,No,(n/a),No,No,(201) 343-6000,90,442 (41.7 %),13 (1.2 %),68 (6.4 %),500 (47.2 %),0 (0.0 %),2 (0.2 %),35 (3.3 %)
1,Biotechnology High School,9-12,314,13.6,2.60%,83.7,1,0.00,Public,5000 Kozloski Road,Freehold,7728,Monmouth,Monmouth County Vocational School District,No,(n/a),No,No,(732) 431-7942,23,192 (61.1 %),5 (1.6 %),10 (3.2 %),105 (33.4 %),0 (0.0 %),2 (0.6 %),0 (0.0 %)
1,Communications High School,9-12,326,11.6,2.80%,83.7,22,21.00,Public,1740 New Bedford Road,Wall,7719,Monmouth,Monmouth County Vocational School District,No,(n/a),No,No,(732) 681-1010,28,285 (87.4 %),4 (1.2 %),19 (5.8 %),18 (5.5 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
1,High Technology High School,9-12,286,13.3,1.10%,83.7,25,24.00,Public,765 Newman Springs Road,Lincroft,7738,Monmouth,Monmouth County Vocational School District,No,(n/a),No,No,(732) 842-8444,22,134 (46.9 %),0 (0.0 %),3 (1.0 %),148 (51.7 %),0 (0.0 %),0 (0.0 %),1 (0.3 %)
1,Marine Academy Of Science And Technology,9-12,291,11.8,6.20%,83.7,1,0.00,Public,305 Mast Way,Highlands,7732,Monmouth,Monmouth County Vocational School District,No,(n/a),No,No,(732) 291-0995,25,269 (92.4 %),1 (0.3 %),9 (3.1 %),11 (3.8 %),0 (0.0 %),0 (0.0 %),1 (0.3 %)
1,Marine Academy of Technology and Environmental Science,9-12,267,9.2,12.00%,83.7,1,0.00,Public,195 Cedar Bridge Road,Manahawkin,8050,Ocean,Ocean County Vocational Technical School School District,No,(n/a),No,No,(609) 978-8439,29,214 (80.1 %),6 (2.2 %),12 (4.5 %),23 (8.6 %),1 (0.4 %),6 (2.2 %),5 (1.9 %)
1,Middlesex County Vocational Academy Allied Health & Biomedical Science,8-12,238,13.2,9.70%,83.7,1,0.00,Public,1 Convery Boulevard,Woodbridge,7095,Middlesex,Middlesex County Vocational and Technical School District,No,(n/a),No,No,(732) 634-5858,18,64 (26.9 %),6 (2.5 %),14 (5.9 %),154 (64.7 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
1,Middlesex County Vocational Academy Math Science &Engineering Techn,9-12,167,12.8,0.00%,83.7,1,0.00,Public,100 Technology Drive,Edison,8837,Middlesex,Middlesex County Vocational and Technical School District,No,(n/a),No,No,(732) 452-2600,13,39 (23.4 %),1 (0.6 %),5 (3.0 %),122 (73.1 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
1,Morris County School of Technology,9-12,610,9.1,10.70%,83.7,19,18.00,Public,400 East Main Street,Denville,7834,Morris,Morris County Vocational School District,No,(n/a),No,Yes,(973) 627-4600,67,410 (67.2 %),16 (2.6 %),66 (10.8 %),111 (18.2 %),0 (0.0 %),1 (0.2 %),6 (1.0 %)
1,Union County Magnet High School,9-12,292,12.7,6.90%,83.7,1,0.00,Public,1776 Raritan Road,Scotch Plains,7076,Union,Union County Vocational-Technical School District,No,(n/a),No,No,(908) 889-8288,23,143 (49.0 %),25 (8.6 %),31 (10.6 %),89 (30.5 %),1 (0.3 %),1 (0.3 %),2 (0.7 %)
1,Union County Technical,9-12,337,9.3,14.20%,83.7,1,0.00,Public,1776 Raritan Rd,Scotch Plains,7076,Union,Union County Vocational-Technical School District,No,(n/a),No,Yes,(908) 889-8288,36,154 (45.7 %),70 (20.8 %),74 (22.0 %),38 (11.3 %),0 (0.0 %),0 (0.0 %),1 (0.3 %)
17,Dr Ronald McNair High School,9-12,707,14.1,47.00%,83.5,1,-16,Public,123 Coles Street,Jersey City,7302,Hudson,Jersey City School District,No,(n/a),No,Yes,(201) 418-7617,50,140 (19.8 %),118 (16.7 %),152 (21.5 %),277 (39.2 %),14 (2.0 %),6 (0.8 %),0 (0.0 %)
17,High Technical High School,9-12,654,11,39.50%,83.5,33,16.00,Public,2000 85th Street,North Bergen,7047,Hudson,Hudson County Schools Of Technology School District,No,(n/a),No,Yes,(201) 662-6801,59,227 (34.7 %),38 (5.8 %),244 (37.3 %),138 (21.1 %),1 (0.2 %),6 (0.9 %),0 (0.0 %)
19,Academy For Performing Arts,9-12,186,16,11.30%,82.7,1,-18,Public,1776 Raritan Road,Scotch Plains,7076,Union,Union County Vocational-Technical School District,No,(n/a),No,No,(908) 889-8288,12,98 (52.7 %),30 (16.1 %),49 (26.3 %),5 (2.7 %),0 (0.0 %),1 (0.5 %),3 (1.6 %)
19,Science Park High School,7-12,800,12.3,79.80%,82.7,20,1.00,Public,260 Norfolk Street,Newark,7102,Essex,Newark Public School District,No,(n/a),No,Yes,(973) 733-8689,65,177 (22.1 %),228 (28.5 %),362 (45.3 %),27 (3.4 %),3 (0.4 %),3 (0.4 %),0 (0.0 %)
21,Bergen County Technical High School - Teterboro,9-12,651,9.8,11.70%,82.6,18,-3,Public,504 Route 46 West,Teterboro,7608,Bergen,Bergen County Vocational Technical School District,No,(n/a),No,Yes,(201) 343-6000,66,273 (41.9 %),25 (3.8 %),134 (20.6 %),189 (29.0 %),1 (0.2 %),2 (0.3 %),27 (4.1 %)
